"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","940","","","","0"
"1991","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","955","","","","0"
"1992","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","968","","","","0"
"1993","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","987","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1000","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1014","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1035","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1063","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1096","A","","","0"
"1999","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1118","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1143","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1167","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1192","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1214","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1234","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1272","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1328","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1363","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1405","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1433","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1453","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1486","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1530","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1558","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1590","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1628","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1648","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1662","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1677","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1719","A","","","0"
"2020","Alberta","2016A000248","16 years and over","Females","Total income","Number of persons","Number","223","thousands","3","v107680804","12.1.3.1.1","1734","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","852","","","","0"
"1991","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","857","","","","0"
"1992","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","868","","","","0"
"1993","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","904","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","923","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","940","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","975","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1002","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1052","A","","","0"
"1999","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1082","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1110","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1131","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1159","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1167","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1192","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1236","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1316","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1328","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1370","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1383","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1408","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1446","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1483","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1497","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1554","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1579","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1588","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1611","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1625","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1658","A","","","0"
"2020","Alberta","2016A000248","16 years and over","Females","Total income","Number with income","Number","223","thousands","3","v107680805","12.1.3.1.2","1698","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","26508","","","","0"
"1991","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","26351","","","","0"
"1992","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","27077","","","","0"
"1993","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","27258","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","27217","A","","","0"
