"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","940","","","","0"
"1991","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","956","","","","0"
"1992","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","969","","","","0"
"1993","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","983","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","993","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1016","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1033","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1069","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1101","A","","","0"
"1999","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1128","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1156","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1174","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1205","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1232","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1247","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1279","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1366","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1401","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1440","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1463","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1489","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Males","Total income","Number of persons","Number","223","thousands","3","v107680729","12.1.2.1.1","1520","A","","","0"
