RK,Name,Team,P,A
1.0,Ollie Watkins,Aston Villa,27,11
1.0,Pascal Groß,Brighton & Hove Albion,25,11
1.0,Pedro Neto,Wolverhampton Wanderers,18,11
4.0,Kieran Trippier,Newcastle United,25,10
4.0,Mohamed Salah,Liverpool,21,10
6.0,Julián Álvarez,Manchester City,27,8
6.0,Leon Bailey,Aston Villa,25,8
8.0,Phil Foden,Manchester City,27,7
8.0,James Ward-Prowse,West Ham United,26,7
8.0,Anthony Elanga,Nottingham Forest,26,7
8.0,Alfie Doughty,Luton Town,25,7
8.0,Darwin Núñez,Liverpool,25,7
8.0,Pedro Porro,Tottenham Hotspur,23,7
8.0,Martin Ødegaard,Arsenal,23,7
8.0,Cole Palmer,Chelsea,23,7
8.0,James Maddison,Tottenham Hotspur,16,7
17.0,Bruno Fernandes,Manchester United,26,6
17.0,Vladimír Coufal,West Ham United,25,6
17.0,Bukayo Saka,Arsenal,25,6
17.0,Jordan Ayew,Crystal Palace,25,6
17.0,Matheus Cunha,Wolverhampton Wanderers,24,6
17.0,Brennan Johnson,Tottenham Hotspur,23,6
17.0,Pablo Sarabia,Wolverhampton Wanderers,20,6
24.0,Andreas Pereira,Fulham,27,5
24.0,Moussa Diaby,Aston Villa,27,5
24.0,Antonee Robinson,Fulham,26,5
24.0,Douglas Luiz,Aston Villa,26,5
24.0,Declan Rice,Arsenal,26,5
24.0,Anthony Gordon,Newcastle United,26,5
24.0,Rodri,Manchester City,24,5
24.0,Dwight McNeil,Everton,24,5
24.0,Son Heung-Min,Tottenham Hotspur,23,5
24.0,Erling Haaland,Manchester City,22,5
24.0,Trent Alexander-Arnold,Liverpool,21,5
24.0,Lucas Paquetá,West Ham United,20,5
24.0,Malo Gusto,Chelsea,19,5
24.0,Jérémy Doku,Manchester City,19,5
38.0,Bruno Guimarães,Newcastle United,26,4
38.0,Morgan Gibbs-White,Nottingham Forest,26,4
38.0,Carlton Morris,Luton Town,26,4
38.0,Alejandro Garnacho,Manchester United,25,4
38.0,Harry Wilson,Fulham,25,4
38.0,Gabriel Martinelli,Arsenal,24,4
38.0,Jean-Philippe Mateta,Crystal Palace,24,4
38.0,Bernardo Silva,Manchester City,23,4
38.0,Marcus Tavernier,AFC Bournemouth,23,4
38.0,Youri Tielemans,Aston Villa,23,4
38.0,Alexis Mac Allister,Liverpool,22,4
38.0,Kaoru Mitoma,Brighton & Hove Albion,19,4
38.0,Diogo Jota,Liverpool,19,4
