Battle,Date,Location,Outcome
Powder Alarm*,"September 1, 1774",Massachusetts,British soldiers remove military supplies
Storming of Fort William and Mary*,"December 14, 1774",New Hampshire,Patriots seize powder and shot after brief skirmish.
Battles of Lexington and Concord,"April 19, 1775",Massachusetts,Patriot victory: British forces raiding Concord driven back into Boston with heavy losses.
Siege of Boston,"April 19, 1775 – March 17, 1776",Massachusetts,Patriot victory: British eventually evacuate Boston after Patriots fortify Dorchester heights
Gunpowder Incident*,"April 20, 1775",Virginia,"Virginia governor Lord Dunmore removes powder to a Royal Navy ship, standoff is resolved peacefully"
New York Armory Raid*,"April 23, 1775",New York,"Patriot victory: Sons of Liberty capture muskets, bayonets and cartridge boxes from the armory at City Hall"
Capture of Fort Ticonderoga,"May 10, 1775",New York,Patriot victory: Patriots capture British posts at Ticonderoga and Crown point
Battle of Chelsea Creek,"May 27–28, 1775",Massachusetts,Patriots victory: Patriots capture British ship Diana
Battle of Machias,"June 11–12, 1775",Massachusetts (Modern day Maine),Patriot forces capture the HM schooner Margaretta
Battle of Bunker Hill,"June 17, 1775",Massachusetts,British victory: British drive Patriot army from the Charlestown peninsula near Boston but suffer heavy losses
Capture of Turtle Bay Depot*,"July 20, 1775",New York,Patriot victory: Sons of Liberty capture storehouse and magazine
Battle of Gloucester,"August 8, 1775",Massachusetts,Patriot victory
Raid on the Battery,"August 23, 1775",New York,Patriot victory: 23 royal cannon from The Battery were taken under fire from HMS Asia offshore
Siege of Fort St. Jean,"September 17 – November 3, 1775",Quebec,Patriot victory: Patriots capture British force and subsequently overrun Montreal and much of Quebec
Battle of Longue-Pointe,"September 25, 1775",Quebec,British victory
Burning of Falmouth,"October 18, 1775",Massachusetts,British burn Falmouth
Battle of Kemp's Landing,"November 14, 1775",Virginia,British victory
Siege of Savage's Old Fields,"November 19–21, 1775",South Carolina,Patriot victory: Patriots defeat loyalist force
Battle of Great Bridge,"December 9, 1775",Virginia,Patriot victory: Lord Dunmore's loyalist force is defeated
Snow Campaign,December 1775,South Carolina,Patriot campaign against loyalists in South Carolina
Battle of Great Cane Break,"December 22, 1775",South Carolina,Patriot victory
Battle of Quebec,"December 31, 1775",Quebec,British victory: British repulse Patriot assault on Quebec city
Burning of Norfolk,"January 1, 1776",Virginia,British bombard Norfolk and Patriots destroy what they see as a loyalist stronghold
Battle of Moore's Creek Bridge,"February 27, 1776",North Carolina,Patriot victory: loyalist force of Regulators and Highlanders defeated
Battle of the Rice Boats,"March 2–3, 1776",Georgia,British victory
Battle of Nassau,"March 3–4, 1776",Bahamas,Patriots raid against the Bahamas to obtain supplies
Battle of Saint-Pierre,"March 25, 1776",Quebec,Patriot victory
Battle of Block Island,"April 6, 1776",Rhode Island,British victory
Battle of The Cedars,"May 18–27, 1776",Quebec,British victory
Battle of Trois-Rivières,"June 8, 1776",Quebec,British victory: Patriots forced to evacuate Quebec
