PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,Player Name
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1987-88,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1988-89,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1989-90,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1990-91,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1991-92,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1992-93,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1995-96,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1996-97,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1997-98,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,2,1984-85,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1986-87,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1987-88,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1988-89,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1989-90,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1990-91,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1991-92,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1992-93,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1995-96,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1996-97,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-NBA,1,1997-98,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,All-Rookie Team,1,1984-85,,,1610612741,Award,Kia Motors,KIART,,Michael Jordan
893,Michael,Jordan,,Hall of Fame Inductee,,2009,,,,Award,Hall of Fame,,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,IBM Award,,1984-85,,,,Award,IBM,IBMAW,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,IBM Award,,1988-89,,,,Award,IBM,IBMAW,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA All-Star Most Valuable Player,,1987-88,,,,Award,Kia Motors,KAMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA All-Star Most Valuable Player,,1995-96,,,,Award,Kia Motors,KAMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA All-Star Most Valuable Player,,1997-98,,,,Award,Kia Motors,KAMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Defensive Player of the Year,,1987-88,,,,Award,Kia Motors,KDPYR,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Finals Most Valuable Player,,1990-91,,,,Award,Kia Motors,KFMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Finals Most Valuable Player,,1991-92,,,,Award,Kia Motors,KFMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Finals Most Valuable Player,,1992-93,,,,Award,Kia Motors,KFMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Finals Most Valuable Player,,1995-96,,,,Award,Kia Motors,KFMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Finals Most Valuable Player,,1996-97,,,,Award,Kia Motors,KFMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Finals Most Valuable Player,,1997-98,,,,Award,Kia Motors,KFMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Most Valuable Player,,1987-88,,,,Award,Kia Motors,KIMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Most Valuable Player,,1990-91,,,,Award,Kia Motors,KIMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Most Valuable Player,,1991-92,,,,Award,Kia Motors,KIMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Most Valuable Player,,1995-96,,,,Award,Kia Motors,KIMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Most Valuable Player,,1997-98,,,,Award,Kia Motors,KIMVP,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1986-87,02/01/1987,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1986-87,11/01/1986,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1987-88,01/01/1988,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1987-88,11/01/1987,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1988-89,03/01/1989,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1988-89,12/01/1988,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1989-90,03/01/1990,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1989-90,12/01/1989,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1990-91,03/01/1991,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1990-91,04/01/1991,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1991-92,03/01/1992,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1992-93,11/01/1992,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1995-96,01/01/1996,,,Award,Kia Motors,KIPMO,,Michael Jordan
893,Michael,Jordan,Chicago Bulls,NBA Player of the Month,,1996-97,11/01/1996,,,Award,Kia Motors,KIPMO,,Michael Jordan
