GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,22100002,26,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-109,260,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,34,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,41,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,48,257,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,37,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,189,1,1,20211019,LAL,GSW
Shot Chart Detail,22100002,75,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,17,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,12,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,130,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,22,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,139,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,25,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,16,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,176,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,29,1,1,20211019,LAL,GSW
Shot Chart Detail,22100002,179,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,1,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,135,228,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,323,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,47,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,18,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,352,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,20211019,LAL,GSW
Shot Chart Detail,22100002,368,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,22,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,379,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,41,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,66,130,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,427,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,23,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,11,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,463,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-89,247,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,496,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,6,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,506,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,42,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,41,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,510,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20211019,LAL,GSW
Shot Chart Detail,22100002,520,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,21,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,642,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,48,260,1,1,20211019,LAL,GSW
Shot Chart Detail,22100002,682,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,7,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-98,108,1,0,20211019,LAL,GSW
Shot Chart Detail,22100002,693,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,5,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-97,131,1,0,20211019,LAL,GSW
Shot Chart Detail,22100016,14,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,7,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,110,237,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,48,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,10,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,78,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,234,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,92,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,27,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,113,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,19,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,80,247,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,116,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,237,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,119,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,187,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,150,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,134,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,235,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,2,115,1,1,20211021,GSW,LAC
Shot Chart Detail,22100016,264,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,55,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-75,271,1,0,20211021,GSW,LAC
Shot Chart Detail,22100016,275,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,21,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-58,42,1,0,20211021,GSW,LAC
Shot Chart Detail,22100016,285,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,0,20211021,GSW,LAC
