GAME_ID,GAME_DATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF
22201223,2023-04-09,L,240,81,31,85,0.365,9,33,0.273,10,13,0.769,15,44,59,20,1,3,24,16
22201218,2023-04-09,L,241,95,35,89,0.393,10,37,0.27,15,16,0.938,11,33,44,27,9,5,16,24
22201229,2023-04-09,W,240,119,49,100,0.49,5,23,0.217,16,24,0.667,14,39,53,22,3,5,10,18
22201222,2023-04-09,L,240,109,41,97,0.423,14,45,0.311,13,21,0.619,14,37,51,28,11,5,12,21
22201216,2023-04-09,L,241,114,44,97,0.454,11,39,0.282,15,19,0.789,16,34,50,27,11,5,9,12
22201217,2023-04-09,W,239,134,53,101,0.525,14,32,0.438,14,19,0.737,13,37,50,31,10,5,13,23
22201226,2023-04-09,W,240,115,45,90,0.5,12,36,0.333,13,16,0.813,8,41,49,30,5,2,14,17
22201225,2023-04-09,W,239,113,39,82,0.476,13,36,0.361,22,31,0.71,8,34,42,25,7,8,17,22
22201223,2023-04-09,W,240,103,40,95,0.421,6,30,0.2,17,22,0.773,11,37,48,21,15,7,3,16
22201227,2023-04-09,W,240,109,42,84,0.5,7,28,0.25,18,25,0.72,15,36,51,25,11,2,16,15
22201220,2023-04-09,W,241,141,46,89,0.517,19,34,0.559,30,38,0.789,8,36,44,33,8,9,15,24
22201226,2023-04-09,L,241,100,40,92,0.435,7,37,0.189,13,18,0.722,11,32,43,25,8,4,12,16
22201224,2023-04-09,W,240,138,51,104,0.49,15,38,0.395,21,30,0.7,13,56,69,31,2,3,12,13
22201220,2023-04-09,L,241,136,52,108,0.481,15,40,0.375,17,22,0.773,19,34,53,29,8,8,15,24
22201221,2023-04-09,L,240,105,38,82,0.463,12,34,0.353,17,21,0.81,7,31,38,28,5,2,14,13
22201228,2023-04-09,L,240,117,51,101,0.505,10,35,0.286,5,6,0.833,7,38,45,31,4,4,11,16
22201216,2023-04-09,W,240,120,42,89,0.472,25,54,0.463,11,14,0.786,12,35,47,33,5,3,15,13
22201230,2023-04-09,L,241,101,38,95,0.4,9,35,0.257,16,24,0.667,6,24,30,25,5,3,14,9
22201227,2023-04-09,L,241,95,37,85,0.435,11,43,0.256,10,15,0.667,10,24,34,24,7,6,15,18
22201228,2023-04-09,W,240,128,47,97,0.485,18,45,0.4,16,21,0.762,10,39,49,28,4,7,10,9
22201230,2023-04-09,W,240,157,58,96,0.604,27,49,0.551,14,16,0.875,9,49,58,47,13,6,15,18
22201229,2023-04-09,L,240,114,42,99,0.424,14,37,0.378,16,22,0.727,12,35,47,29,4,3,7,21
