PLAYER_ID,RANK,PLAYER,TEAM,GP,PPG,APG,RPG,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,EFF,AST_TOV,STL_TOV
893,1,Michael Jordan,CHI,21,32.4,3.5,5.1,872,243,526,0.462,13,43,0.302,181,223,0.812,33,74,107,74,45,32,12,47,680,535,1.64,0.71
406,2,Shaquille O'Neal,LAL,13,30.5,2.9,10.2,501,158,258,0.612,0,0,0.0,80,159,0.503,48,84,132,38,43,7,34,41,396,385,0.88,0.16
252,3,Karl Malone,UTA,20,26.3,3.4,10.8,795,198,420,0.471,0,3,0.0,130,165,0.788,47,170,217,68,60,22,20,69,526,536,1.13,0.37
431,4,Shawn Kemp,CLE,4,26.0,2.0,10.2,152,33,71,0.465,0,0,0.0,38,45,0.844,16,25,41,8,16,5,4,12,104,101,0.5,0.31
896,5,Tim Hardaway,MIA,5,26.0,6.6,3.4,222,42,94,0.447,17,39,0.436,29,37,0.784,3,14,17,33,18,6,0,9,130,108,1.83,0.33
120,6,Steven Smith,ATL,4,24.8,2.2,2.8,160,39,68,0.574,10,20,0.5,11,16,0.688,2,9,11,9,5,2,3,17,99,85,1.8,0.4
56,7,Gary Payton,SEA,10,24.0,7.0,3.4,428,87,183,0.475,19,50,0.38,47,50,0.94,9,25,34,70,26,18,1,31,240,238,2.69,0.69
779,8,Glen Rice,CHH,9,22.8,1.4,5.7,369,82,173,0.474,11,36,0.306,30,36,0.833,11,40,51,13,13,5,3,26,205,167,1.0,0.39
275,9,Allan Houston,NYK,10,21.1,2.8,3.8,403,76,175,0.434,9,23,0.391,50,58,0.862,6,32,38,28,32,5,1,27,211,144,0.88,0.16
1495,10,Tim Duncan,SAS,9,20.7,1.9,9.0,374,73,140,0.521,0,1,0.0,40,60,0.667,20,61,81,17,25,5,23,24,186,200,0.68,0.2
165,11,Hakeem Olajuwon,HOU,5,20.4,2.4,10.8,190,39,99,0.394,0,1,0.0,24,33,0.727,9,45,54,12,13,5,16,18,102,107,0.92,0.39
397,12,Reggie Miller,IND,16,19.9,2.0,1.8,628,98,230,0.426,38,95,0.4,85,94,0.904,5,23,28,32,27,19,3,26,319,233,1.19,0.7
764,13,David Robinson,SAS,9,19.4,2.6,14.1,353,57,134,0.425,0,0,0.0,61,96,0.635,41,86,127,23,25,11,30,28,175,229,0.92,0.44
375,14,Isaiah Rider,POR,4,19.2,4.2,5.0,166,28,67,0.418,1,11,0.091,20,26,0.769,7,13,20,17,16,5,0,11,77,58,1.06,0.31
297,15,Alonzo Mourning,MIA,4,19.2,1.2,8.5,138,29,56,0.518,0,0,0.0,19,29,0.655,10,24,34,5,8,3,10,18,77,84,0.63,0.38
428,16,Sherman Douglas,NJN,3,18.3,8.3,2.7,125,23,44,0.523,2,5,0.4,7,10,0.7,1,7,8,25,13,6,0,5,55,57,1.92,0.46
913,17,Larry Johnson,NYK,8,17.9,1.6,6.6,310,52,107,0.486,2,10,0.2,37,50,0.74,25,28,53,13,25,10,3,30,143,129,0.52,0.4
686,18,Antonio McDyess,PHX,4,17.8,1.0,13.2,147,31,65,0.477,0,0,0.0,9,14,0.643,18,35,53,4,5,2,6,12,71,92,0.8,0.4
757,19,Damon Stoudamire,POR,4,17.8,9.5,4.2,166,25,63,0.397,8,22,0.364,13,13,1.0,6,11,17,38,16,5,1,13,71,78,2.38,0.31
422,20,Avery Johnson,SAS,9,17.3,6.1,1.4,342,61,101,0.604,0,2,0.0,34,51,0.667,3,10,13,55,21,9,0,27,156,155,2.62,0.43
980,21,Zydrunas Ilgauskas,CLE,4,17.2,0.5,7.5,147,28,49,0.571,0,0,0.0,13,25,0.52,14,16,30,2,10,2,5,22,69,65,0.2,0.2
224,22,Eddie Jones,LAL,13,17.0,2.5,3.9,476,69,148,0.466,20,48,0.417,63,76,0.829,12,39,51,32,17,26,21,37,221,242,1.88,1.53
937,23,Scottie Pippen,CHI,21,16.8,5.2,7.1,836,122,294,0.415,18,79,0.228,91,134,0.679,49,101,150,110,51,45,20,66,353,412,2.16,0.88
22,24,Rik Smits,IND,16,16.6,1.2,5.3,476,105,209,0.502,0,1,0.0,55,64,0.859,17,68,85,20,21,8,14,67,265,258,0.95,0.38
317,25,John Starks,NYK,10,16.4,2.3,4.0,314,59,125,0.472,25,59,0.424,21,24,0.875,4,36,40,23,11,16,1,35,164,164,2.09,1.46
954,26,Kerry Kittles,NJN,3,16.3,2.7,5.0,126,17,40,0.425,5,13,0.385,10,11,0.909,0,15,15,8,7,4,2,12,49,47,1.14,0.57
324,27,Anthony Peeler,MIN,5,16.2,3.6,7.6,213,31,77,0.403,15,31,0.484,4,4,1.0,16,22,38,18,8,10,3,15,81,96,2.25,1.25
