PLAYER,TEAM,TEAM_ID,SEASON,GP,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS OffTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
Aari McDonald,Atlanta Dream,1611661330,1997,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,1997,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,1997,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,1997,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,1997,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,1997,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,1997,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,1997,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,1997,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,1997,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,1997,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,1997,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,1997,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,1998,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,1998,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,1998,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,1998,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,1998,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,1998,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,1998,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,1998,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,1998,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,1998,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,1998,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,1998,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,1998,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,1999,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,1999,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,1999,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,1999,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,1999,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,1999,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
