Category: All categories

Month,All I Want For Christmas Is You (SuperFestive!): (Worldwide),Underneath the Tree: (Worldwide),Last Christmas: (Worldwide)
2013-11,23,<1,9
2013-12,100,4,41
2014-01,5,<1,3
2014-02,2,<1,1
2014-03,2,<1,1
2014-04,2,<1,1
2014-05,1,<1,1
2014-06,1,<1,1
2014-07,1,<1,1
2014-08,2,<1,1
2014-09,2,<1,1
2014-10,5,<1,2
2014-11,24,1,9
2014-12,98,2,38
2015-01,5,<1,3
2015-02,2,<1,1
2015-03,2,<1,1
2015-04,1,<1,1
2015-05,1,<1,1
2015-06,1,<1,1
2015-07,1,<1,1
2015-08,2,<1,1
2015-09,3,<1,1
2015-10,6,<1,2
2015-11,26,<1,8
2015-12,87,1,36
2016-01,4,<1,2
2016-02,2,<1,1
2016-03,1,<1,1
2016-04,1,<1,1
2016-05,1,<1,1
2016-06,1,<1,1
2016-07,1,<1,1
2016-08,1,<1,1
2016-09,2,<1,1
2016-10,5,<1,2
2016-11,27,1,8
2016-12,94,2,77
2017-01,5,<1,6
2017-02,2,<1,2
2017-03,2,<1,1
2017-04,1,<1,1
2017-05,1,<1,1
2017-06,2,<1,1
2017-07,1,<1,1
2017-08,2,<1,1
2017-09,3,<1,2
2017-10,5,<1,3
2017-11,28,1,14
2017-12,86,2,59
2018-01,4,<1,4
2018-02,1,<1,2
2018-03,1,<1,1
2018-04,1,<1,1
2018-05,1,<1,1
2018-06,1,<1,1
2018-07,1,<1,1
2018-08,1,<1,1
2018-09,2,<1,2
2018-10,5,<1,3
2018-11,28,1,13
2018-12,83,2,58
2019-01,4,<1,4
2019-02,2,<1,1
2019-03,1,<1,1
2019-04,1,<1,1
2019-05,1,<1,1
2019-06,1,<1,1
2019-07,1,1,1
2019-08,1,<1,2
2019-09,3,<1,3
2019-10,6,<1,5
2019-11,29,2,32
2019-12,93,4,96
2020-01,6,<1,8
2020-02,2,<1,3
2020-03,2,<1,2
2020-04,1,<1,2
2020-05,2,<1,2
2020-06,1,<1,1
2020-07,1,<1,1
2020-08,2,<1,2
2020-09,3,<1,3
2020-10,5,<1,4
2020-11,16,1,10
