"REF_DATE","GEO","DGUID","Type of energy-saving light","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185214","1.4","33","","","","0"
"2013","Canada","2016A000011124","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185214","1.4","40","","","","0"
"2015","Canada","2016A000011124","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185214","1.4","41","","","","0"
"2017","Canada","2016A000011124","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185214","1.4","40","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185221","2.4","40","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185221","2.4","46","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185221","2.4","48","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185221","2.4","36","","","","0"
"2011","Prince Edward Island","2016A000211","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185228","3.4","32","","","","0"
"2013","Prince Edward Island","2016A000211","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185228","3.4","46","","","","0"
"2015","Prince Edward Island","2016A000211","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185228","3.4","48","","","","0"
"2017","Prince Edward Island","2016A000211","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185228","3.4","46","","","","0"
"2011","Nova Scotia","2016A000212","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185235","4.4","45","","","","0"
"2013","Nova Scotia","2016A000212","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185235","4.4","45","","","","0"
"2015","Nova Scotia","2016A000212","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185235","4.4","46","","","","0"
"2017","Nova Scotia","2016A000212","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185235","4.4","37","","","","0"
"2011","New Brunswick","2016A000213","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185242","5.4","34","","","","0"
"2013","New Brunswick","2016A000213","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185242","5.4","47","","","","0"
"2015","New Brunswick","2016A000213","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185242","5.4","49","","","","0"
"2017","New Brunswick","2016A000213","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185242","5.4","38","","","","0"
"2011","Quebec","2016A000224","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185249","6.4","32","","","","0"
"2013","Quebec","2016A000224","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185249","6.4","41","","","","0"
"2015","Quebec","2016A000224","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185249","6.4","38","","","","0"
"2017","Quebec","2016A000224","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185249","6.4","41","","","","0"
"2011","Ontario","2016A000235","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185256","7.4","34","","","","0"
"2013","Ontario","2016A000235","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185256","7.4","38","","","","0"
"2015","Ontario","2016A000235","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185256","7.4","41","","","","0"
"2017","Ontario","2016A000235","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185256","7.4","39","","","","0"
"2011","Manitoba","2016A000246","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185263","8.4","39","","","","0"
"2013","Manitoba","2016A000246","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185263","8.4","37","","","","0"
"2015","Manitoba","2016A000246","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185263","8.4","44","","","","0"
"2017","Manitoba","2016A000246","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185263","8.4","41","","","","0"
"2011","Saskatchewan","2016A000247","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185270","9.4","33","","","","0"
"2013","Saskatchewan","2016A000247","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185270","9.4","34","","","","0"
"2015","Saskatchewan","2016A000247","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185270","9.4","42","","","","0"
"2017","Saskatchewan","2016A000247","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185270","9.4","36","","","","0"
"2011","Alberta","2016A000248","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185277","10.4","29","","","","0"
"2013","Alberta","2016A000248","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185277","10.4","36","","","","0"
"2015","Alberta","2016A000248","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185277","10.4","42","","","","0"
"2017","Alberta","2016A000248","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185277","10.4","42","","","","0"
"2011","British Columbia","2016A000259","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185284","11.4","32","","","","0"
"2013","British Columbia","2016A000259","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185284","11.4","43","","","","0"
"2015","British Columbia","2016A000259","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185284","11.4","41","","","","0"
"2017","British Columbia","2016A000259","Light emitting diode (LED) holiday lights","Percent","239","units","0","v44185284","11.4","40","","","","0"


