"Date","Bank of Canada Target Overnight Rate"
"31 Dec 1934","2.5"
"31 Dec 1943","1.58"
"31 Dec 1944","1.5"
"31 Dec 1949","1.62"
"31 Dec 1950","2"
"31 Dec 1954","1.9"
"31 Dec 1955","3.15"
"31 Dec 1956","4.02"
"31 Dec 1957","2.5"
"31 Dec 1958","5.13"
"31 Dec 1959","4.66"
"31 Jan 1960","4.62"
"29 Feb 1960","3.41"
"31 Mar 1960","3.5"
"30 Apr 1960","2.99"
"31 May 1960","3.07"
"30 Jun 1960","3.19"
"31 Jul 1960","2.25"
"31 Aug 1960","1.68"
"30 Sep 1960","2.87"
"31 Oct 1960","3.7699999999999996"
"30 Nov 1960","3.46"
"31 Dec 1960","3.22"
"31 Jan 1961","2.86"
"28 Feb 1961","3.21"
"31 Mar 1961","3.32"
"30 Apr 1961","3.17"
"31 May 1961","2.55"
"30 Jun 1961","2.63"
"31 Jul 1961","2.51"
"31 Aug 1961","2.42"
"30 Sep 1961","2.49"
"31 Oct 1961","2.42"
"30 Nov 1961","2.93"
"31 Dec 1961","3.1"
"31 Jan 1962","3.17"
"28 Feb 1962","3.1"
"30 Apr 1962","3.5"
"31 May 1962","5.75"
"31 Aug 1962","5.25"
"30 Sep 1962","4.75"
"31 Oct 1962","3.75"
"30 Apr 1963","3.25"
"31 Jul 1963","3.75"
"31 Oct 1964","4"
"30 Nov 1965","4.5"
"28 Feb 1966","5"
"31 Jan 1967","4.75"
"31 Mar 1967","4.25"
"31 Aug 1967","4.75"
"31 Oct 1967","5.75"
"31 Dec 1967","6.75"
"29 Feb 1968","7.25"
"30 Jun 1968","6.25"
"31 Aug 1968","5.75"
"30 Nov 1968","6.25"
"28 Feb 1969","6.75"
"31 May 1969","7.25"
"30 Jun 1969","7.75"
"30 Apr 1970","7.25"
"31 May 1970","6.75"
"31 Aug 1970","6.25"
"31 Oct 1970","5.75"
"31 Jan 1971","5"
"30 Sep 1971","4.5"
"31 Mar 1973","5"
"30 Apr 1973","5.5"
"31 May 1973","6"
"31 Jul 1973","6.5"
"31 Aug 1973","7"
"31 Mar 1974","8"
"30 Apr 1974","8.5"
"30 Jun 1974","9"
"31 Oct 1974","8.5"
"31 Dec 1974","8"
"31 Aug 1975","8.75"
"29 Feb 1976","9.25"
"31 Oct 1976","8.75"
"30 Nov 1976","8.25"
"31 Jan 1977","7.75"
"30 Apr 1977","7.25"
"28 Feb 1978","7.75"
"31 Mar 1978","8.25"
"30 Jun 1978","8.75"
"31 Aug 1978","9.25"
"30 Sep 1978","10"
"31 Oct 1978","10.5"
"31 Dec 1978","11"
"30 Jun 1979","11.5"
"31 Aug 1979","12"
"30 Sep 1979","13.75"
"29 Feb 1980","14.54"
"31 Mar 1980","15.42"
"30 Apr 1980","11.58"
"31 May 1980","10.42"
"30 Jun 1980","9.93"
