"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","139.3","","","","1"
"2013-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","147.9","","","","1"
"2013-03","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","143.7","","","","1"
"2013-04","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","134.4","","","","1"
"2013-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","129.2","","","","1"
"2013-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","130.8","","","","1"
"2013-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","135.2","","","","1"
"2013-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","135.5","","","","1"
"2013-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","139.8","","","","1"
"2013-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","140.4","","","","1"
"2013-11","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","140.2","","","","1"
"2013-12","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","144.1","","","","1"
"2014-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","147.0","","","","1"
"2014-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","152.8","","","","1"
"2014-03","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","153.8","","","","1"
"2014-04","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","141.8","","","","1"
"2014-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","139.6","","","","1"
"2014-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","138.9","","","","1"
"2014-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","137.3","","","","1"
"2014-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","136.8","","","","1"
"2014-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","135.0","","","","1"
"2014-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","136.1","","","","1"
"2014-11","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","134.5","","","","1"
"2014-12","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","125.0","","","","1"
"2015-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","116.0","","","","1"
"2015-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","119.9","","","","1"
"2015-03","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","131.4","","","","1"
"2015-04","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","115.3","","","","1"
"2015-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","118.2","","","","1"
"2015-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","117.6","","","","1"
"2015-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","114.9","","","","1"
"2015-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","108.8","","","","1"
"2015-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","107.6","","","","1"
