"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","95.0","","","","1"
"2006-02","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","88.0","","","","1"
"2006-03","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","93.3","","","","1"
"2006-04","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","106.2","","","","1"
"2006-05","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","104.6","","","","1"
"2006-06","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","104.5","","","","1"
"2006-07","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","109.7","","","","1"
"2006-08","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","109.6","","","","1"
"2006-09","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","89.7","","","","1"
"2006-10","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","86.5","","","","1"
"2006-11","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","86.5","","","","1"
"2006-12","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","90.1","","","","1"
"2007-01","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","87.1","","","","1"
"2007-02","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","91.0","","","","1"
"2007-03","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","102.4","","","","1"
"2007-04","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","105.2","","","","1"
"2007-05","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","111.5","","","","1"
"2007-06","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","106.1","","","","1"
"2007-07","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","106.4","","","","1"
"2007-08","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","100.8","","","","1"
"2007-09","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","101.9","","","","1"
"2007-10","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","98.0","","","","1"
"2007-11","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","102.4","","","","1"
"2007-12","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","104.0","","","","1"
"2008-01","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","106.0","","","","1"
"2008-02","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","106.6","","","","1"
"2008-03","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","110.3","","","","1"
"2008-04","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","117.5","","","","1"
"2008-05","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","128.0","","","","1"
"2008-06","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","135.1","","","","1"
"2008-07","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","136.6","","","","1"
