,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,FPR,VPR
1,Special Events,"89,403,711 hours","476,595 hours","3,123,208","6,896","60,379","10,205",54,187.59,"2,749,021","133,446,937",5.77,280.00
2,Just Chatting,"2,300,697,968 hours","32,232,285 hours","2,787,896","13,308","1,835,635","262,636","3,679",71.38,"171,344,648","3,193,916,413",5.32,99.09
3,Fortnite,"1,165,037,506 hours","88,236,119 hours","2,331,987","129,860","3,496,932","132,995","10,072",13.20,"142,967,972","1,455,149,313",1.62,16.49
4,League of Legends,"1,652,835,706 hours","40,766,355 hours","2,020,835","11,606","1,209,767","188,679","4,653",40.54,"42,937,137","2,010,989,819",1.05,49.33
5,VALORANT,"936,638,883 hours","34,068,505 hours","1,728,977","16,287","1,380,665","106,922","3,889",27.49,"44,001,457","1,231,846,982",1.29,36.16
6,Rust,"292,849,158 hours","3,631,802 hours","1,373,791","3,249","194,482","33,430",414,80.63,"14,188,619","287,865,856",3.91,79.26
7,Cyberpunk 2077,"69,949,222 hours","3,185,132 hours","1,126,038","35,125","260,585","7,985",363,21.96,"1,426,196","104,861,204",0.45,32.92
8,Call of Duty: Warzone,"944,741,957 hours","60,397,163 hours","951,957","31,506","2,143,304","107,847","6,894",15.64,"40,124,735","820,593,661",0.66,13.59
9,World of Warcraft,"468,431,058 hours","16,915,422 hours","933,430","25,791","339,237","53,473","1,930",27.69,"7,092,382","564,123,346",0.42,33.35
10,Minecraft,"635,317,359 hours","25,709,372 hours","931,417","9,865","1,826,328","72,524","2,934",24.71,"51,433,204","578,218,206",2.00,22.49
11,FIFA 21,"247,575,038 hours","5,069,127 hours","837,094","7,733","342,022","28,261",578,48.84,"10,351,620","233,381,059",2.04,46.04
12,Counter-Strike: Global Offensive,"758,957,171 hours","16,995,293 hours","828,949","5,542","942,664","86,638","1,940",44.66,"29,060,466","1,133,023,283",1.71,66.67
13,Among Us,"469,807,195 hours","8,368,349 hours","776,257","12,317","987,163","53,630",955,56.14,"26,299,933","515,909,916",3.14,61.65
14,Fall Guys: Ultimate Knockout,"184,302,819 hours","4,651,158 hours","713,229","7,272","641,543","21,039",530,39.63,"9,335,824","213,177,031",2.01,45.83
15,Call of Duty: Black Ops Cold War,"105,450,961 hours","7,529,240 hours","705,050","23,867","466,249","12,037",859,14.01,"4,094,115","116,514,504",0.54,15.47
