,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,FPR,VPR
1,Just Chatting,"259,503,353 hours","3,455,992 hours","1,138,978","13,308","468,472","360,421","4,799",75.09,"20,418,682","393,638,526",5.91,113.90
2,League of Legends,"164,249,369 hours","3,988,498 hours","703,375","9,687","283,482","228,124","5,539",41.18,"3,239,671","213,156,507",0.81,53.44
3,Grand Theft Auto V,"139,348,297 hours","2,152,262 hours","506,815","6,008","186,520","193,539","2,989",64.75,"12,944,046","116,185,493",6.01,53.98
4,Fortnite,"115,073,855 hours","7,113,555 hours","541,227","18,928","682,572","159,824","9,879",16.18,"11,185,681","189,220,609",1.57,26.60
5,Minecraft,"89,118,793 hours","3,821,103 hours","647,145","9,865","477,777","123,776","5,307",23.32,"7,497,684","83,435,320",1.96,21.84
6,Call of Duty: Warzone,"78,161,349 hours","3,489,624 hours","305,415","9,097","215,326","108,557","4,846",22.40,"3,335,512","70,580,684",0.96,20.23
7,VALORANT,"73,932,525 hours","3,165,104 hours","238,289","7,382","280,075","102,684","4,395",23.36,"3,689,262","115,507,978",1.17,36.49
8,Counter-Strike: Global Offensive,"72,063,331 hours","1,635,037 hours","607,485","4,551","172,349","100,087","2,270",44.07,"2,739,766","124,697,779",1.68,76.27
9,Apex Legends,"53,809,331 hours","4,272,933 hours","208,798","13,184","312,512","74,735","5,934",12.59,"2,453,686","56,054,453",0.57,13.12
10,Rust,"46,974,535 hours","674,909 hours","331,005","3,092","53,130","65,242",937,69.60,"1,220,003","42,105,362",1.81,62.39
11,FIFA 21,"43,566,724 hours","1,108,548 hours","373,549","6,258","129,340","60,509","1,539",39.30,"1,788,361","42,585,416",1.61,38.42
12,Dota 2,"41,577,745 hours","662,165 hours","218,653","1,725","31,128","57,746",919,62.79,"483,366","55,707,253",0.73,84.13
13,Escape From Tarkov,"40,947,560 hours","1,249,198 hours","123,010","2,839","54,911","56,871","1,734",32.78,"577,751","35,966,843",0.46,28.79
14,Valheim,"34,425,465 hours","1,438,469 hours","188,897","5,307","114,521","47,813","1,997",23.93,"445,767","36,170,229",0.31,25.14
15,World of Warcraft,"31,752,979 hours","1,519,070 hours","139,533","6,182","77,900","44,101","2,109",20.90,"567,835","43,574,640",0.37,28.69
16,Tom Clancy's Rainbow Six Siege,"27,230,030 hours","1,223,553 hours","187,752","3,415","144,713","37,819","1,699",22.25,"1,124,717","21,711,498",0.92,17.74
17,Music,"25,444,580 hours","947,964 hours","161,030","2,709","56,933","35,339","1,316",26.84,"1,465,260","76,414,452",1.55,80.61
18,Chess,"23,184,907 hours","112,302 hours","370,111",342,"17,632","32,201",155,206.45,"730,322","70,933,846",6.50,631.63
19,Among Us,"22,129,204 hours","436,373 hours","324,430","2,040","94,273","30,735",606,50.71,"1,182,860","25,771,963",2.71,59.06
20,Rocket League,"21,044,131 hours","1,279,468 hours","227,721","3,703","274,006","29,227","1,777",16.45,"1,721,290","36,467,222",1.35,28.50
21,Hearthstone,"20,631,168 hours","183,078 hours","75,751",421,"14,379","28,654",254,112.69,"115,797","19,017,444",0.63,103.88
22,PLAYERUNKNOWN'S BATTLEGROUNDS,"20,264,353 hours","683,693 hours","172,924","1,538","43,110","28,144",949,29.64,"353,010","70,796,221",0.52,103.55
23,Dead by Daylight,"19,659,298 hours","1,143,159 hours","68,993","2,641","92,019","27,304","1,587",17.20,"542,323","21,254,446",0.47,18.59
24,Slots,"18,251,233 hours","113,080 hours","72,877",281,"5,001","25,348",157,161.40,"311,874","10,804,790",2.76,95.55
25,Teamfight Tactics,"15,344,587 hours","304,728 hours","79,479",754,"34,680","21,311",423,50.36,"201,901","18,217,558",0.66,59.78
26,Path of Exile,"15,233,821 hours","320,141 hours","59,982",791,"13,304","21,158",444,47.58,"92,845","16,113,327",0.29,50.33
27,Overwatch,"13,780,608 hours","909,830 hours","72,588","2,361","94,041","19,139","1,263",15.15,"441,748","14,420,608",0.49,15.85
28,Call of Duty: Black Ops Cold War,"12,046,885 hours","1,312,734 hours","140,677","4,848","142,801","16,731","1,823",9.18,"549,139","10,769,704",0.42,8.20
29,Genshin Impact,"11,973,079 hours","640,485 hours","77,074","3,475","62,117","16,629",889,18.69,"379,181","13,424,803",0.59,20.96
30,Call Of Duty: Modern Warfare,"11,792,159 hours","5,172,493 hours","48,998","13,827","385,818","16,377","7,184",2.28,"781,455","6,138,836",0.15,1.19
31,Garena Free Fire,"11,426,324 hours","305,356 hours","506,272",843,"27,273","15,869",424,37.42,"1,317,901","13,731,052",4.32,44.97
32,Art,"10,231,247 hours","653,337 hours","63,409","1,382","63,763","14,210",907,15.66,"616,263","16,523,241",0.94,25.29
33,ARK: Survival Evolved,"9,923,102 hours","380,568 hours","386,433","1,074","33,568","13,782",528,26.07,"476,587","11,497,097",1.25,30.21
34,Destiny 2,"8,244,290 hours","704,926 hours","48,725","3,560","50,343","11,450",979,11.70,"217,190","7,918,291",0.31,11.23
35,Little Nightmares II,"7,368,515 hours","195,117 hours","125,493","1,893","34,741","10,234",270,37.76,"167,767","9,037,940",0.86,46.32
36,Talk Shows & Podcasts,"7,237,032 hours","178,506 hours","124,418",626,"17,869","10,051",247,40.54,"188,542","15,402,105",1.06,86.28
37,Sea of Thieves,"6,886,476 hours","493,242 hours","62,017","1,582","50,340","9,564",685,13.96,"233,780","7,903,001",0.47,16.02
38,ASMR,"6,779,882 hours","93,297 hours","23,643",186,"4,776","9,416",129,72.67,"349,674","6,498,251",3.75,69.65
39,SMITE,"6,465,600 hours","284,606 hours","32,803",873,"22,334","8,980",395,22.72,"92,345","4,772,394",0.32,16.77
40,Poker,"6,296,121 hours","114,178 hours","41,588",370,"5,401","8,744",158,55.14,"119,764","9,059,290",1.05,79.34
41,World of Tanks,"6,066,079 hours","196,364 hours","31,076",672,"11,428","8,425",272,30.89,"125,444","6,904,689",0.64,35.16
