,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
SUBNATION_NAME,NAME_CATEGORY_DESC,ELCODE,FAMILY,SNAME,SCOMNAME,GNAME,GCOMNAME,S_RANK,N_RANK,G_RANK,ORIGIN_DESC,CURR_PRESENCE_ABSENCE_DESC,EO_TRACK_STATUS_DESC
Alberta,Invertebrate Animal,IIPLE02030,Capniidae,Bolshecapnia milami,glacier snowfly,Bolshecapnia milami,Glacier Snowfly,SU,N3N5,G4G5,Unknown/Undetermined,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE02050,Capniidae,Bolshecapnia sasquatchi,sasquatch snowfly,Bolshecapnia sasquatchi,Sasquatch Snowfly,SU,NU,G2,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE02060,Capniidae,Bolshecapnia spenceri,ice snowfly,Bolshecapnia spenceri,Ice Snowfly,SU,NU,G3,Native,Unknown/Undetermined,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE03040,Capniidae,Capnia cheama,Cheam Snowfly,Capnia cheama,Mt. Cheama Snowfly,SU,NU,G4,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE03050,Capniidae,Capnia coloradensis,Colorado snowfly,Capnia coloradensis,Colorado Snowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE03060,Capniidae,Capnia confusa,widespread snowfly,Capnia confusa,Widespread Snowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE03150,Capniidae,Capnia gracilaria,slender snowfly,Capnia gracilaria,Slender Snowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE03260,Capniidae,Capnia nana,dwarf snowfly,Capnia nana,Dwarf Snowfly,SU,N5,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE03310,Capniidae,Capnia petila,thin snowfly,Capnia petila,Thin Snowfly,SU,N5,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE03390,Capniidae,Capnia sextuberculata,six-knobbed snowfly,Capnia sextuberculata,Six-knobbed Snowfly,SU,NU,G4,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE03490,Capniidae,Capnia vernalis,Belly Snowfly,Capnia vernalis,Vernal Snowfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE04010,Capniidae,Eucapnopsis brevicauda,Short-tailed Snowfly,Eucapnopsis brevicauda,Short-tailed Snowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE05020,Capniidae,Isocapnia agassizi,Agassiz snowfly,Isocapnia agassizi,Agassiz Snowfly,SU,N4N5,G4G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE05030,Capniidae,Isocapnia crinita,hooked snowfly,Isocapnia crinita,Hooked Snowfly,SU,N3N5,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE05050,Capniidae,Isocapnia grandis,giant snowfly,Isocapnia grandis,Giant Snowfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE05060,Capniidae,Isocapnia hyalita,hyalite snowfly,Isocapnia hyalita,Hyalite Snowfly,SU,NU,G4,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE05070,Capniidae,Isocapnia integra,Alberta snowfly,Isocapnia integra,Alberta Snowfly,S4S5,N4N5,G4G5,Native,Present,Do not track
